code,term
716186003,No known allergy (situation)
416098002,Allergy to drug (finding)
161611007,History of non-drug allergy (situation)
419076005,Allergic reaction (disorder)
292954005,Penicillin adverse reaction (disorder)
91936005,Allergy to penicillin (finding)
609328004,Allergic disposition (finding)
413174003,Statin not tolerated (situation)
62014003,Adverse reaction caused by drug (disorder)
414285001,Allergy to food (finding)
282100009,Adverse reaction caused by substance (disorder)
91934008,Allergy to nut (finding)
41291007,Angioedema (disorder)
407564000,Angiotensin converting enzyme inhibitor not tolerated (situation)
408357000,Drug side effect - acceptable to patient (finding)
88171000000109,Aspirin not tolerated (situation)
292967008,Amoxycillin adverse reaction (disorder)
91930004,Allergy to edible egg (finding)
738069006,Intolerance to cow milk (finding)
293433001,Adverse reaction caused by simvastatin (disorder)
91935009,Allergy to peanut (finding)
88201000000105,Beta blocker not tolerated (situation)
293504000,Ramipril adverse reaction (disorder)
292939004,Trimethoprim adverse reaction (disorder)
419056004,Erythromycin adverse reaction (disorder)
15911003,Cow's milk protein sensitivity (disorder)
232346004,Allergy to cat dander (finding)
218613000,Adverse reaction caused by ibuprofen (disorder)
293500009,Angiotensin-converting-enzyme inhibitor adverse reaction (disorder)
232350006,Allergy to dust mite protein (finding)
196471000000108,Transfer-degraded non-drug allergy (record artifact)
293432006,3-Hydroxy-3-methylglutaryl coenzyme A reductase inhibitor adverse reaction (disorder)
182842009,Doctor stopped drugs - side effect (situation)
39579001,Anaphylaxis (disorder)
292044008,Aspirin adverse reaction (disorder)
292419005,Beta-adrenoceptor blocking drug adverse reaction (disorder)
407565004,Angiotensin II receptor antagonist not tolerated (situation)
281647001,Adverse reaction (disorder)
232349006,Allergy to house dust (finding)
213024000,Allergic reaction caused by insect bite (disorder)
292964001,Flucloxacillin adverse reaction (disorder)
292460003,Amlodipine adverse reaction (disorder)
293049008,Doxycycline adverse reaction (disorder)
293586001,Allergy to aspirin (finding)
292940002,Nitrofurantoin adverse reaction (disorder)
292055008,Codeine adverse reaction (disorder)
418370000,Atenolol adverse reaction (disorder)
218620007,Adverse reaction caused by naproxen (disorder)
300909004,Allergic reaction caused by wasp sting (disorder)
300916003,Allergy to latex (finding)
269722001,Adverse reaction caused by salicylate (disorder)
88191000000108,Clopidogrel not tolerated (situation)
300910009,Allergy to pollen (finding)
292287002,Amitriptyline adverse reaction (disorder)
217673009,Toxic reaction caused by wasp sting (disorder)
717234006,Allergy to animal protein (finding)
161614004,History of multiple allergies (situation)
293507007,Enalapril adverse reaction (disorder)
196461000000101,Transfer-degraded drug allergy (record artifact)
235719002,Intolerance to food (finding)
218614006,Adverse reaction caused by diclofenac sodium (disorder)
419901001,Non-steroidal anti-inflammatory drug adverse reaction (disorder)
293029004,Metronidazole adverse reaction (disorder)
282095007,Allergic reaction caused by bee sting (disorder)
294477004,Allergy to trimethoprim (finding)
12481000132103,History of biological substance allergy (situation)
418689008,Allergy to grass pollen (finding)
419271008,Allergy to dog dander (finding)
292042007,Adverse reaction caused by paracetamol (disorder)
300913006,Allergy to shellfish (finding)
91931000,Allergy to erythromycin (finding)
413561002,Anticoagulation not tolerated (situation)
182864000,Drug not taken - side-effects (situation)
292949001,Ciprofloxacin adverse reaction (disorder)
407590002,Angiotensin II receptor antagonist adverse reaction (disorder)
88181000000106,Warfarin not tolerated (situation)
219084006,Adverse reaction to vaccine product containing Clostridium tetani antigen (disorder)
293203005,Metformin adverse reaction (disorder)
292997000,Cephalexin adverse reaction (disorder)
441831003,Gluten sensitivity (finding)
93419003,Contact dermatitis caused by nickel (disorder)
30451004,Contact dermatitis caused by detergent (disorder)
170709001,Epilepsy drug side effect (finding)
190447002,Steroid-induced diabetes (disorder)
417532002,Allergy to fish (finding)
432807008,Pollen-food allergy (finding)
292303004,Sertraline adverse reaction (disorder)
293435008,Adverse reaction caused by pravastatin (disorder)
292425009,Bisoprolol adverse reaction (disorder)
292933003,Clarithromycin adverse reaction (disorder)
293455009,Bendrofluazide adverse reaction (disorder)
293502001,Lisinopril adverse reaction (disorder)
293344008,Warfarin adverse reaction (disorder)
170840001,Allergy drug side effect (finding)
302320003,Milk-free diet (finding)
420174000,Allergy to wheat (finding)
109991000119100,Allergy to antibiotic (finding)
21782001,Drug-induced constipation (disorder)
294647003,Allergy to vaccine product containing Influenza virus antigen (finding)
196011000000109,Dipyridamole not tolerated (situation)
414678008,Metformin not tolerated (situation)
291000119100,Contact dermatitis caused by chemical (disorder)
292920009,Antibacterial drug adverse reaction (disorder)
91937001,Allergy to seafood (finding)
16228891000119105,Allergic contact dermatitis caused by metal (disorder)
28926001,Eruption caused by drug (disorder)
88273006,Iatrogenic hypothyroidism (disorder)
292440006,Propranolol adverse reaction (disorder)
700094005,Intolerance to milk (finding)
293057006,Chloramphenicol adverse reaction (disorder)
91941002,Food anaphylaxis (disorder)
232347008,Allergy to animal dander (finding)
293331003,Anticoagulant adverse reaction (disorder)
200895000,Ingestion dermatitis caused by food (disorder)
293104008,Adverse reaction to vaccine product (disorder)
294478009,Allergy to nitrofurantoin (finding)
293058001,Sulfamethoxazole + trimethoprim adverse reaction (disorder)
170760000,Diabetic drug side effects (finding)
293056002,Tetracycline adverse reaction (disorder)
115665000,Atopy (finding)
4223005,Parkinsonism caused by drug (disorder)
292679006,Allopurinol adverse reaction (disorder)
199691000000101,History of anaphylactic shock (situation)
292133002,Metoclopramide adverse reaction (disorder)
419263009,Allergy to tree pollen (finding)
609550002,History of angiotensin converting enzyme inhibitor pseudoallergy (situation)
292307003,Fluoxetine adverse reaction (disorder)
292968003,Ampicillin adverse reaction (disorder)
91938006,Allergy to strawberry (finding)
293032001,Sulfonamide adverse reaction (disorder)
416794009,Bisphosphonates not tolerated (situation)
293052000,Oxytetracycline adverse reaction (disorder)
170575006,Cardiac drug side effects (finding)
219076007,Adverse reaction to vaccine product containing Bacillus Calmette-Guerin antigen (disorder)
402390008,Anaphylaxis caused by ingested food (disorder)
293023003,Clindamycin adverse reaction (disorder)
292257008,Azathioprine adverse reaction (disorder)
293095001,"Vaccine, immunoglobulins and antisera adverse reaction (disorder)"
419253001,Adverse reaction caused by clopidogrel (disorder)
473011001,Allergic condition (finding)
680131000000102,"Allergy, unspecified (disorder)"
292229001,Methotrexate adverse reaction (disorder)
416093006,Allergic reaction caused by drug (disorder)
849311000000104,Alendronic acid not tolerated (situation)
714035009,Allergy to soy (disorder)
292994007,Cephalosporin adverse reaction (disorder)
170617002,Respiratory drug side effect (finding)
473105001,History of allergic reaction to hair dye (situation)
292059002,Morphine adverse reaction (disorder)
912861000000104,Novel oral anticoagulant not tolerated (situation)
292325005,Carbamazepine adverse reaction (disorder)
